SYMBOL,Industry,Sector,fiftyTwoWeekHigh,marketCap,dividend Rate,trailing PE,forward PE,priceToSales,Profit Margins,Operating Margins,Revenue Growth,Earnings Growth,ROA,ROE,Volume,DebtToEquity
ALKEM,Drug Manufacturers - Specialty & Generic,Healthcare,6439.9,710520995840,10.0,34.602013,28.892212,5.5807323,0.16135,0.17421,0.022,0.902,,,93169,13.238
MUTHOOTFIN,Credit Services,Financial Services,2078.75,772536139776,24.0,17.301224,36.362003,8.127403,0.46987,0.65704,0.206,0.139,0.049489997,0.19148001,452666,291.271
POLICYBZR,Insurance Brokers,Financial Services,1966.5,743872593920,,555.8475,,19.665747,0.03663,-0.0636,0.518,,,,756802,4.311
POLYCAB,Electrical Equipment & Parts,Industrials,7605.0,1003530616832,30.0,54.347534,40.10811,4.9855413,0.08916,0.101569995,0.304,0.031,0.12084,0.22850999,324720,2.231
PERSISTENT,Information Technology Services,Technology,5798.7,876392218624,26.0,70.92171,102.640724,8.14857,0.114630006,0.124309994,0.201,0.226,0.12177,0.24699,518278,10.362
TATACOMM,Telecom Services,Communication Services,2175.0,507058585600,16.7,54.644943,159.71248,2.2312143,0.040749997,0.07914,0.184,0.03,0.050229996,0.57273,405107,697.484
CUMMINSIND,Specialty Industrial Machinery,Industrials,4171.9,946513313792,40.0,51.02422,,10.404092,0.2011,0.23005,0.044,0.308,,,267606,1.92
ASHOKLEY,Farm & Heavy Construction Machinery,Industrials,264.65,628982415360,7.55,25.721155,27.612904,1.343296,0.0523,0.1523,0.107,-0.065,,,10299262,345.368
TATATECH,Information Technology Services,Technology,1400.0,422098305024,8.4,63.294746,,8.230219,0.12671,0.15869,0.009,-0.153,,,1207296,7.991
ACC,Building Materials,Basic Materials,2844.0,423854997504,7.5,20.619184,16.353407,2.1096246,0.101619996,0.04206,0.04,-0.489,0.051820002,0.12945,339791,2.735
FEDERALBNK,Banks - Regional,Financial Services,206.59,462856716288,1.2,11.22604,15.931566,3.6632729,0.31878,0.42825,0.227,0.012,,,7801975,
MRF,Auto Parts,Consumer Cyclical,151445.0,532264058880,369.0,23.094702,22.26475,2.0527134,0.07958,0.10609999,0.117,-0.03,,,6299,16.892
PAGEIND,Apparel Manufacturing,Consumer Cyclical,46810.4,481128513536,1200.0,83.33385,71.950455,10.391288,0.12442,0.17319,0.03,0.043,,,17424,11.575
AUROPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1592.0,832869957632,4.5,23.75104,22.927437,2.8025424,0.11849,0.16062,0.105,0.611,,,470066,22.27
INDIANB,Banks - Regional,Financial Services,632.7,674964045824,12.0,7.097096,6.2870474,2.487514,0.33685002,0.46639,0.2,0.285,,,654639,
MFSL,Insurance - Life,Financial Services,1306.45,439969873920,,128.25453,73.057304,0.839045,0.00657,0.0141199995,0.313,-0.24,0.00224,0.079229996,1950582,13.714
APOLLOTYRE,Auto Parts,Consumer Cyclical,584.9,313390563328,6.0,18.730003,23.079327,1.2480394,0.06479,0.085200004,0.014,-0.238,,,1156619,35.283
SUPREMEIND,Building Products & Equipment,Industrials,6460.0,581663522816,32.0,49.99709,97.19642,5.611106,0.10524,0.100880004,-0.015,-0.15,0.12553,0.22014,218791,1.402
MAHABANK,Banks - Regional,Financial Services,73.5,388269768704,1.4,7.083815,,3.850778,0.48558998,0.49703,0.313,0.446,0.01658,0.23605,17500514,
TORNTPOWER,Utilities - Independent Power Producers,Utilities,2037.0,938837540864,16.0,40.48401,63.554676,3.2497737,0.07921,0.16587,0.233,0.88,,,355885,92.334
NLCINDIA,Utilities - Regulated Electric,Utilities,311.8,337298292736,3.0,17.295734,,2.582961,0.15383,0.27054,0.018,0.372,,,2879080,115.745
HDFCAMC,Asset Management,Financial Services,4864.0,960740196352,70.0,42.015,36.10118,26.162169,0.60157,0.81334996,0.383,0.316,0.26669002,0.34471,566188,
BDL,Aerospace & Defense,Industrials,1794.7,392680538112,5.28,138.93146,33.129807,17.35433,0.2555,-0.35566002,-0.358,-0.825,,,794003,0.103
DELHIVERY,Integrated Freight & Logistics,Industrials,488.0,275356286976,,,,3.2842834,-0.012569999,-0.010290001,0.126,,,,3091511,12.787
BALKRISIND,Auto Parts,Consumer Cyclical,3375.0,569339019264,16.0,34.48233,,5.642288,0.16145,0.17082001,0.074,-0.001,0.08315,0.18488,199206,33.214
CONCOR,Railroads,Industrials,1180.0,499803881472,10.0,38.01625,25.295801,5.6579223,0.14413,0.12943,0.094,0.051,,,1042928,7.871
BHARTIHEXA,Telecom Services,Communication Services,1568.0,728999395328,4.0,169.5779,,9.962138,0.10419,0.21982999,0.136,1.02,,,306142,146.873
BHARATFORG,Auto Parts,Consumer Cyclical,1804.5,653802405888,9.0,69.940056,,4.1091356,0.058480002,0.12729,0.059,-0.092,,,590968,110.941
TIINDIA,Conglomerates,Industrials,4810.8,898741501952,3.5,99.01048,77.00083,5.284051,0.07117,0.09358,0.177,0.033,,,99427,31.194
SRF,Specialty Chemicals,Basic Materials,2693.95,666421952512,7.2,57.802513,29.08408,4.932367,0.083579995,0.10709,0.078,-0.331,0.051170003,0.098850004,720086,43.73
MPHASIS,Information Technology Services,Technology,3187.8,590225211392,55.0,36.363148,29.070356,4.305507,0.116330005,0.15393,0.079,0.076,0.09174,0.19236,371508,20.995
UPL,Agricultural Inputs,Basic Materials,625.0,399135703040,1.0,,12.445161,0.9238825,-0.040510003,0.053600002,0.012,,,,1390152,90.974
SUZLON,Specialty Industrial Machinery,Industrials,86.04,939911086080,,105.42188,39.45614,13.11754,0.12027001,0.15948,0.496,1.75,,,49429610,3.832
VOLTAS,Specialty Industrial Machinery,Industrials,1944.9,594153570304,5.5,126.61256,55.23607,4.231149,0.03254,0.08339,0.465,1.583,,,1313174,12.702
MANKIND,Drug Manufacturers - Specialty & Generic,Healthcare,2835.0,1013549891584,,50.253735,37.312366,9.517281,0.18428,0.19839,0.122,0.101,,,229437,2.164
OBEROIRLTY,Real Estate - Development,Real Estate,2065.2,712041627648,12.0,30.396837,58.03198,13.97954,0.45591,0.60077,0.084,0.291,0.09229,0.16801001,548279,14.056
APLAPOLLO,Steel,Basic Materials,1774.0,410167541760,5.5,55.864292,,2.2113602,0.03946,0.05129,0.094,-0.003,,,250726,31.744
KPITTECH,Information Technology Services,Technology,1928.7,443142602752,6.7,51.542213,,8.138512,0.13362001,0.16695999,0.227,0.444,0.14202,0.33431,4221743,13.968
BANKINDIA,Banks - Regional,Financial Services,157.95,450714075136,2.8,6.1036663,9.4296875,1.783688,0.27271998,0.37929,-0.035,0.089,,0.104820006,6498706,
ABFRL,Apparel Manufacturing,Consumer Cyclical,364.4,333447102464,,,-232.7907,2.3436604,-0.04555,-0.02263,0.073,,,,4078127,200.199
YESBANK,Banks - Regional,Financial Services,32.85,627908083712,,39.551018,17.150442,5.2245564,0.121020004,0.20932,0.167,0.417,0.0038,0.03351,97842592,
BIOCON,Biotechnology,Healthcare,395.8,389597528064,0.5,23.636364,24.018476,2.638477,0.10706,0.06263,0.003,5.482,,,3281968,64.399
PHOENIXLTD,Real Estate - Diversified,Real Estate,2068.5,559525855232,2.5,43.863907,,13.864782,0.26185,0.47948003,0.049,0.155,0.0624,0.10797,828919,35.182
LTF,Credit Services,Financial Services,194.25,374513926144,2.5,13.619417,9.523422,4.702184,0.32332,0.47044,0.134,0.163,0.02419,0.1104,12604264,348.876
IOB,Banks - Regional,Financial Services,83.75,995400613888,,32.19231,55.800003,7.6440854,0.22753,0.32497,0.251,,0.0083099995,0.10957,7296061,
IRB,Infrastructure Operations,Industrials,78.15,319946031104,0.4,50.28713,25.143564,4.1945224,0.080240004,0.32489,0.134,0.045,,,18406435,135.715
